あいかわらず	相変わらず	as usual	読L22-II
あいさつ		greetings	読L23-II
あいす	愛す	to love [u]	読L14-II
あいて	相手	partner; the other person	会L22
アイロンをかける		to iron (clothes) [ru]	会L16
あかちゃん	赤ちゃん	baby	会L17
あかるい	明るい	bright	会L18
あきらめる		to give up [ru]	会L14
あく	開く	(something) opens [u]	会L18
あげる		to give (to others) [ru]	会L14
あさねぼうする	朝寝坊する	to oversleep [irr.]	会L16
あちら		that way (polite)	会L20
あつめる	集める	to collect [ru]	会L16
あと	後	the rest	会L18
アドバイス		advice	読L14-II
アナウンス		announcement	読L13-III
アニメ		animation	会L20
アパート		apartment; smaller apartment building	会L13
あぶない	危ない	dangerous	会L17
アプリ		application	会L13
あむ	編む	to knit [u]	会L13
あめがやむ	雨がやむ	the rain stops [u]	会L23
あやまる	謝る	to apologize [u]	会L18
あらわす	表す	to express; to show [u]	読L23-II
あんしょうばんごう	暗証番号	personal identification number	会L13(e)
あんぜん(な)	安全	safe	会L21
あんないする	案内する	to show (someone) around [irr.]	会L16
あんなに		so; such	読L20-II
いう(もんくを)	言う(文句を)	to complain [u]	会L21
いう(わるぐちを)	言う(悪口を)	to talk behind someone's back [u]	会L23
〜いがい	〜以外	other than ...	会L16
いかが		how (polite expression of どう)	読L19-II
いじめる		to bully [ru]	会L21
〜いじょう	〜以上	... or more	読L18-II
いたす	致す	extra-modest expression for する [u]	会L20
いただく	頂く	extra-modest expression for たべる and のむ [u]	会L20
いただく	頂く	humble expression for もらう [u]	会L20
いちにち	一日	one day	会L13
いちにちじゅう	一日中	all day long	会L15
いちにちめ	一日目	first day	会L15
いちねんじゅう	一年中	all year	読L15-II
いつか	五日	five days	会L13
いっかい	一階	first floor	会L20
いっしょうけんめい	一生懸命	very hard	読L21-II
いっしょうにいちど	一生に一度	once in a lifetime	読L13-II
いっぱくにしょくつき	一泊二食付き	one night with two meals	会L15(e)
いっぽう	一方	on the other hand	読L23-II
いなか		countryside	読L20-II
いなくなる		(someone) is gone; to disappear [u]	会L23
いますぐ	今すぐ	right away	会L18
いらっしゃる		honorific expression for いく, くる, and いる [u]	会L19
いれる		to make tea, coffee, etc. [ru]	会L17
いれる	入れる	to put (something) in [ru]	会L16
いろいろ(な)		various; different kinds of	会L13
インターネット		internet	会L15
うかがう	伺う	to humbly visit; to humbly ask [u]	会L20
うけつけ	受付	reception desk	会L22
うける	受ける	to take (an examination) [ru]	会L22
うちゅうじん	宇宙人	space alien	会L20
うつす	写す	to copy [u]	読L16-II
うまく		well; successfully; skillfully	読L22-II
うまくいく		to go well [u]	読L22-II
うまれる	生まれる	to be born [ru]	会L17
うらない	占い	fortune-telling	読L21-II
うらやましい		envious	会L17
うらやましがる		(somebody is) envious	読L22-II
うる	売る	to sell [u]	会L15
うるさい		noisy; annoying	会L22
うれしい		glad	会L13
うれる	売れる	to be sold [ru]	読L20-II
え	絵	painting; picture; drawing	会L15
えいかいわ	英会話	English conversation	会L22
えいがかん	映画館	movie theater	会L15
えいきょうをうける	影響を受ける	to be affected [ru]	読L17-II
ええと		well ...; let me see ...	会L16
えきいん(さん)	駅員(さん)	station attendant	会L16
えさ		feed	読L20-II
エスエヌエス	SNS	social media	読L23-II
えど	江戸	former name of Tokyo	読L20-II
えどじだい	江戸時代	Edo period (1603-1868)	読L20-II
えもじ	絵文字	emoji	読L23-II
えらぶ	選ぶ	to choose; to select [u]	会L17
えんぴつ	鉛筆	pencil	会L14
